SECTOR,YEAR,CENTRALITY,N_MAKE,N_USE,PCT_MAKE,PCT_USE
21.0,2015.0,-0.14540229,13.0,52.0,0.009280984099085732,0.6145029894889348
22.0,2015.0,-0.00942307,6.0,24.0,0.012027415182137124,0.9341754593424173
23.0,2015.0,-0.00942307,11.0,36.0,0.057132316176850995,0.8975071680147111
24.0,2015.0,0.10079789,16.0,48.0,0.06719095573293798,0.9733126107800636
25.0,2015.0,0.215143225,10.0,37.0,0.04380479608604482,0.8915778743198968
26.0,2015.0,0.180328325,6.0,2.0,0.017820429220159584,0.5759984058857307
27.0,2015.0,0.180328325,26.0,125.0,0.10526836627687919,0.8177447433509286
28.0,2015.0,-0.15358028,6.0,69.0,0.05477937669158839,0.8940676567841662
29.0,2015.0,-0.15358028,12.0,72.0,0.04271922441883258,0.8602695845691659
30.0,2015.0,0.097901593,13.0,52.0,0.044130262956196264,0.9018790489561085
31.0,2015.0,0.097901593,22.0,155.0,0.11507446037925606,0.9463275403893302
32.0,2015.0,0.005474871,12.0,182.0,0.05647250385364799,0.9524968162620638
33.0,2015.0,0.041964934,26.0,182.0,0.10909065650638783,0.9706684092610581
34.0,2015.0,0.004057569,17.0,126.0,0.2639981867082061,0.9731526075254286
35.0,2015.0,0.004057569,20.0,188.0,0.054073744615157016,0.9448269670765697
36.0,2015.0,-0.03299233,25.0,175.0,0.14167253407732605,0.666688889194528
37.0,2015.0,-0.03299233,17.0,65.0,0.14721952822966655,0.9293951404303766
38.0,2015.0,0.015786625,9.0,69.0,0.07716691438647416,0.8951563621170264
39.0,2015.0,0.015786625,17.0,34.0,0.06168046236898728,0.6881827268596775
40.0,2015.0,0.036306896,17.0,158.0,0.07058677159212945,0.9890979421663253
41.0,2015.0,0.036306896,25.0,117.0,0.08873955500545805,0.7716157081336552
42.0,2015.0,0.06275717,31.0,180.0,0.10588424696885468,0.9572642861136822
43.0,2015.0,0.06275717,52.0,187.0,0.050722848474478055,0.9129654191765828
44.0,2015.0,-0.186800608,24.0,152.0,0.07321713288291565,0.901977842564611
45.0,2015.0,-0.186800608,14.0,67.0,0.06541431234597128,0.9558849859281788
46.0,2015.0,-0.235503566,20.0,127.0,0.048884863773437925,0.8814374071961696
47.0,2015.0,-0.021093233,12.0,104.0,0.022702932788322028,0.8987223804181153
48.0,2015.0,-0.021093233,17.0,126.0,0.075259243208749,0.928447763651316
49.0,2015.0,-0.016235067,13.0,117.0,0.04276358154986848,0.8974070720477092
50.0,2015.0,-0.016235067,18.0,84.0,0.7982486379999869,0.9810712512279635
51.0,2015.0,0.023055725,22.0,81.0,0.02697340951404925,0.7347842125770592
52.0,2015.0,-0.076284961,23.0,81.0,0.037482470640562315,0.6756141240247256
53.0,2015.0,-0.076284961,13.0,68.0,0.022462312875433432,0.9897999712645327
54.0,2015.0,0.055540552,28.0,106.0,0.06820358260616621,0.9525665896944623
55.0,2015.0,0.055540552,25.0,150.0,0.09810545481710031,0.9985011648519236
56.0,2015.0,0.03293557,39.0,130.0,0.051226308448545144,0.9684085558906173
57.0,2015.0,0.03293557,22.0,113.0,0.061088462724640524,0.9076365190341733
58.0,2015.0,-0.138163728,27.0,111.0,0.14732028547510456,0.9475899870977388
59.0,2015.0,-0.138163728,16.0,96.0,0.3710863794527951,0.9430055532265291
60.0,2015.0,0.186669365,28.0,178.0,0.06377600828765828,0.9588331758488283
61.0,2015.0,0.186669365,21.0,119.0,0.020207202212532582,0.9790819926991947
62.0,2015.0,0.047407329,46.0,182.0,0.09894864318005703,0.9229156952252503
63.0,2015.0,0.047407329,36.0,37.0,0.057324500264675504,0.9143212812088607
64.0,2015.0,-0.016502385,30.0,63.0,0.0920522606635985,0.8434869836411678
65.0,2015.0,-0.082996722,37.0,97.0,0.16198658958032142,0.9356039851359446
66.0,2015.0,0.163227903,27.0,168.0,0.03368446305703632,0.8627073652878902
67.0,2015.0,0.105441398,23.0,117.0,0.05441551712203063,0.9100066108392877
68.0,2015.0,0.105441398,17.0,74.0,0.04574054615572232,0.8724018871040138
69.0,2015.0,0.031283437,38.0,160.0,0.06293883699116176,0.8746049376377983
70.0,2015.0,0.031283437,22.0,149.0,0.1919189241442999,0.9371431203403707
71.0,2015.0,-0.053808498,18.0,114.0,0.27928789298517986,0.8703727063735973
72.0,2015.0,-0.074266111,11.0,54.0,0.051788294886868314,0.9819501113642276
73.0,2015.0,-0.074266111,31.0,145.0,0.17050887480838428,0.9346861870259302
74.0,2015.0,-0.065490752,33.0,128.0,0.10584240914993659,0.9118209830024168
75.0,2015.0,-0.065490752,8.0,90.0,0.1184812678516225,0.9638918004433452
76.0,2015.0,-0.078372484,19.0,123.0,0.0627168983653128,0.98095883887348
77.0,2015.0,-0.078372484,16.0,30.0,0.029370159066867796,0.9926424601617666
78.0,2015.0,0.056652325,24.0,148.0,0.0846904887587111,0.9194202333088757
79.0,2015.0,0.056652325,35.0,133.0,0.06807688977971982,0.9620398432738733
80.0,2015.0,-0.052944812,8.0,8.0,0.0030184024618344907,0.8317702015499953
81.0,2015.0,-0.052944812,16.0,19.0,0.10824914197400726,0.5944865196998385
82.0,2015.0,-0.027313835,45.0,181.0,0.07450017716394552,0.8682312354313804
83.0,2015.0,0.029237259,29.0,10.0,0.1001438187202115,0.3002363251820186
84.0,2015.0,0.029237259,12.0,11.0,0.022696837742481435,0.3334299017343173
85.0,2015.0,-0.057363577,14.0,7.0,0.04694471063203398,0.9495056730926841
86.0,2015.0,-0.057363577,19.0,29.0,0.07043674638677588,0.2862583723233819
87.0,2015.0,0.112978142,25.0,59.0,0.08203314096532954,0.9870983622312169
88.0,2015.0,-0.147669749,24.0,48.0,0.07828516820141662,0.9422429707628464
89.0,2015.0,-0.024145224,16.0,7.0,0.027842404220508432,0.4938198883449664
90.0,2015.0,-0.024145224,35.0,73.0,0.11890103265692964,0.914020683185389
91.0,2015.0,-0.051616542,45.0,148.0,0.14429984667520446,0.8553234216078929
92.0,2015.0,-0.051616542,31.0,188.0,0.05796392343006862,0.9358466500307699
93.0,2015.0,-0.153293078,13.0,161.0,0.2936758666451246,0.929558197524113
94.0,2015.0,-0.153293078,10.0,170.0,0.1099724960682108,0.9869039359068231
95.0,2015.0,0.06387763,17.0,177.0,0.08193914138837999,0.9983606402189971
96.0,2015.0,0.082697038,29.0,177.0,0.0638132469070809,0.987039851210667
97.0,2015.0,0.082697038,9.0,188.0,0.01700718201702478,0.997742284938003
98.0,2015.0,0.035967322,4.0,188.0,0.02742831111654631,0.9965011392204899
99.0,2015.0,0.035967322,6.0,188.0,0.054005833090287836,0.9997766584725031
100.0,2015.0,-0.046656083,9.0,188.0,0.034698580104004284,0.9680024377394582
101.0,2015.0,-0.046656083,9.0,176.0,0.00417878558070317,1.0
102.0,2015.0,-0.005796079,4.0,187.0,0.0050493739556388695,0.9999747492501393
103.0,2015.0,-0.005796079,21.0,155.0,0.03571626223575586,0.8219387017972883
104.0,2015.0,0.155866995,12.0,92.0,0.007513033083257348,0.9821310433166067
105.0,2015.0,0.041673809,8.0,176.0,0.018904658248354078,0.9131340953547126
106.0,2015.0,0.041673809,14.0,135.0,0.45628127283462605,0.8289926957278716
107.0,2015.0,-0.061297904,7.0,178.0,0.2341990504929058,0.7422598080727529
108.0,2015.0,-0.061297904,11.0,77.0,0.029090366331096074,0.7137437194693164
109.0,2015.0,0.067098887,10.0,14.0,0.7087996782370193,0.25483615080438726
110.0,2015.0,-0.015941577,9.0,2.0,0.750976943632877,0.7487910570564691
111.0,2015.0,0.005898146,11.0,188.0,0.06624051464703706,0.8265236773374609
112.0,2015.0,0.005898146,10.0,184.0,0.13963069588903942,0.8823701634403089
113.0,2015.0,0.036149307,10.0,188.0,0.3827293665309005,0.9742018255828168
114.0,2015.0,0.036149307,11.0,179.0,0.2194132778981991,0.9884380182297633
115.0,2015.0,-0.027613718,11.0,111.0,0.5560468184124634,0.878079358928852
116.0,2015.0,-0.027613718,6.0,188.0,0.1403034455995339,0.9272077349761901
117.0,2015.0,-0.150626572,5.0,188.0,0.034596024777934664,0.6997803143897654
118.0,2015.0,-0.150626572,4.0,187.0,0.017328827912375888,0.8254024915587722
119.0,2015.0,0.003031181,5.0,184.0,0.007940552362212583,0.5487538290054836
120.0,2015.0,0.003031181,7.0,188.0,6.589238090448646e-05,0.8854775217677834
121.0,2015.0,-0.036538342,10.0,187.0,0.018998601717958197,0.9955842087812989
122.0,2015.0,0.041889928,13.0,166.0,0.19380011634537486,0.9984348547751871
123.0,2015.0,-0.010135451,14.0,186.0,0.1435823891103849,0.9849426905392159
124.0,2015.0,-0.010135451,4.0,182.0,0.009843648349271872,0.9843859395965455
125.0,2015.0,-0.045126609,4.0,186.0,0.005228538102761027,0.9867800995077718
126.0,2015.0,0.033692773,5.0,188.0,0.028740206462999907,0.9851312131821196
127.0,2015.0,0.033692773,7.0,188.0,0.03547995113527247,0.9447346569934424
128.0,2015.0,0.050844319,9.0,181.0,0.07666091136105391,0.9957943228700352
129.0,2015.0,0.006164172,13.0,188.0,0.1018347134491897,0.9793544209503382
130.0,2015.0,0.006164172,11.0,184.0,0.049975801145078824,0.9756861635958876
131.0,2015.0,0.060912023,6.0,110.0,0.015975240144701197,0.3698273197949342
132.0,2015.0,0.060912023,6.0,185.0,0.005635682646035645,0.9891767775667029
133.0,2015.0,0.036041784,8.0,185.0,0.041571283086354494,0.9899228954631022
134.0,2015.0,0.036041784,3.0,169.0,0.028489653232897538,0.9999012853688541
135.0,2015.0,0.028774407,11.0,175.0,0.1037717456957532,0.993748591687349
136.0,2015.0,0.028774407,11.0,165.0,0.03356298908479849,0.9923548762839514
137.0,2015.0,0.078484738,13.0,185.0,0.021115950659768346,0.946607021317243
138.0,2015.0,0.078484738,8.0,186.0,0.03161455542924374,0.9926744416457293
139.0,2015.0,-0.001869097,4.0,120.0,0.006753157503396778,0.9842549764695228
140.0,2015.0,-0.001869097,8.0,181.0,0.012411498635480411,0.9943807522267549
141.0,2015.0,-0.056680822,6.0,188.0,0.0004605162366653204,0.9912411891247297
142.0,2015.0,-0.056680822,8.0,182.0,0.305576315094809,0.9946796427447439
143.0,2015.0,0.055414595,9.0,188.0,0.021908741317032576,0.8954987609881649
144.0,2015.0,0.055414595,5.0,0.0,0.03332286019049202,0.0
145.0,2015.0,-0.006375798,12.0,33.0,0.35227640103239866,0.8813780794695514
146.0,2015.0,-0.006375798,7.0,29.0,0.018226581041464907,0.9184000666012292
147.0,2015.0,0.008293199,8.0,2.0,0.005115068042055082,1.0
148.0,2015.0,0.008293199,7.0,0.0,0.017572792464065956,0.0
149.0,2015.0,-0.048376607,9.0,2.0,0.041439027929795924,1.0
150.0,2015.0,-0.048376607,8.0,2.0,0.01537089606939146,1.0
151.0,2015.0,0.02685912,7.0,11.0,0.0306544551740342,1.0
152.0,2015.0,0.02685912,8.0,0.0,0.023656498266901527,0.0
153.0,2015.0,-0.043206831,7.0,15.0,0.005958272810044907,1.0
154.0,2015.0,-0.044281,9.0,0.0,0.030258621135591857,0.0
155.0,2015.0,-0.044281,10.0,2.0,0.010387089698933538,1.0
156.0,2015.0,-0.025086978,9.0,1.0,0.06269170509109956,1.0
